Mix,Name,Formula,inchikey,smiles,RT,[M+H]+,[M+NH4]+,[M+Na]+,[M-H2O+H]+
1,Strophanthidinic Acid Lactone Acetate,C25H32O7,RPIVIODUUUOQDD-UHFFFAOYSA-N,CC(=O)OC1CCC23C4CCC5(C(CCC5(C4CCC2(C1)O)OC3=O)C6=CC(=O)OC6)C,0,445.2221,462.2486,467.204,427.2115
1,Strophanthidinic Acid Lactone Acetate_glycoside,C25H32O7,RPIVIODUUUOQDD-UHFFFAOYSA-N,CC(=O)OC1CCC23C4CCC5(C(CCC5(C4CCC2(C1)O)OC3=O)C6=CC(=O)OC6)C,0,607.2754,624.3019,629.2573,589.2648
1,Strophanthidinic Acid Lactone Acetate_diglycoside,C25H32O7,RPIVIODUUUOQDD-UHFFFAOYSA-N,CC(=O)OC1CCC23C4CCC5(C(CCC5(C4CCC2(C1)O)OC3=O)C6=CC(=O)OC6)C,0,769.3287,786.3552,791.3106,751.3181
1,Glutamine (L),C5H10N2O3,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)[C@@H](C(=O)O)N,0,147.0764,164.103,169.0584,129.0659
1,Glutamine (L)_glycoside,C5H10N2O3,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)[C@@H](C(=O)O)N,0,309.1297,326.1563,331.1117,291.1192
1,Glutamine (L)_diglycoside,C5H10N2O3,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)[C@@H](C(=O)O)N,0,471.183,488.2096,493.165,453.1725
1,Punctaporonin B,C15H24O3,FCUGGFFHQXNXJN-MNRPPXDRSA-N,C[C@@]\1(CC[C@@]2([C@H](CC2(C)C)/C(=C\C=C1)/CO)O)O,0,253.1798,270.2064,275.1618,235.1693
1,Punctaporonin B_glycoside,C15H24O3,FCUGGFFHQXNXJN-MNRPPXDRSA-N,C[C@@]\1(CC[C@@]2([C@H](CC2(C)C)/C(=C\C=C1)/CO)O)O,0,415.2331,432.2597,437.2151,397.2226
1,Punctaporonin B_diglycoside,C15H24O3,FCUGGFFHQXNXJN-MNRPPXDRSA-N,C[C@@]\1(CC[C@@]2([C@H](CC2(C)C)/C(=C\C=C1)/CO)O)O,0,577.2864,594.313,599.2684,559.2759
1,Lupinine,C10H19NO,HDVAWXXJVMJBAR-VHSXEESVSA-N,C1CCN2CCC[C@H]([C@H]2C1)CO,0,170.1539,187.1805,192.1359,152.1434
