Mix,Name,Formula,CAS number,inchikey,smiles,[M+H]+,[M+NH4]+,[M+Na]+,[M-H2O+H]+
1,Strophanthidinic Acid Lactone Acetate,C25H32O7,No CAS#,RPIVIODUUUOQDD-UHFFFAOYSA-N,CC(=O)OC1CCC23C4CCC5(C(CCC5(C4CCC2(C1)O)OC3=O)C6=CC(=O)OC6)C,445.2221,462.2486,467.204,427.2115
1,Glutamine (L),C5H10N2O3,56-85-9,ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)[C@@H](C(=O)O)N,147.0764,164.103,169.0584,129.0659
1,Punctaporonin B,C15H24O3,93697-36-0,FCUGGFFHQXNXJN-MNRPPXDRSA-N,C[C@@]\1(CC[C@@]2([C@H](CC2(C)C)/C(=C\C=C1)/CO)O)O,253.1798,270.2064,275.1618,235.1693
1,Lupinine,C10H19NO,486-70-4,HDVAWXXJVMJBAR-VHSXEESVSA-N,C1CCN2CCC[C@H]([C@H]2C1)CO,170.1539,187.1805,192.1359,152.1434
1,Glycocholic Acid,C26H43NO6,475-31-0,RFDAIACWWDREDC-FRVQLJSFSA-N,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,466.3163,483.3429,488.2983,448.3057
1,Rutilantinone,C22H20O9,21288-61-9, RWCVSDKDFSVZNF-KRYGIPSASA-N  ,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C=CC(=C4C3=O)O)O)O)O)O,429.118,446.1446,451.1,411.1074
1,3-Amino-Beta-Pinene,C10H17N,No CAS#,ZEKALTOSWFXTCN-UHFFFAOYSA-N,CC1(C2CC1C(=C)C(C2)N)C,152.1434,169.1699,174.1253,134.1328
1,Sarmentoside B,C34H48O13,No CAS#,JJSVXWKQLGHFES-QGZYWIHFSA-N,CC1C(C(C(C(O1)O[C@H]2CC[C@@]3(C4[C@@H](C[C@@]5([C@H](CC[C@@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)OC(=O)C)C=O)O)OC)OC(=O)C,665.3168,682.3433,687.2987,647.3062
1,CRUSTECDYSONE,C27H44O7,5289-74-7,NKDFYOWSKOHCCO-YPVLXUMRSA-N,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,481.316,498.3425,503.2979,463.3054
1,Irigenol,C15H10O8,4935-93-7,DFURNQJNFBMYHM-UHFFFAOYSA-N,C1=C(C=C(C(=C1O)O)O)C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O,319.0448,336.0714,341.0268,301.0343
1,Cortisone,C21H28O5,53-06-5,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,361.201,378.2275,383.1829,343.1904
1,Deoxycholic Acid,C24H40O4,88-44-3,KXGVEGMKQFWNSR-LLQZFEROSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,393.2999,410.3265,415.2819,375.2894
1,Ursolic Acid,C30H48O3,77-52-1,WCGUUGGRBIKTOS-GPOJBZKASA-N,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,457.3676,474.3942,479.3496,439.3571
1,3Alpha-Hydroxy-3-Deoxyangolensic Acid Methyl Ester,C27H36O7,No CAS#,QFRUZVNPYYYLAN-BBJYNIMOSA-N,C[C@@]12CCC3C(=C)[C@]1(CC(=O)O[C@H]2C4=COC=C4)O[C@@H]5[C@]3(C(C(C(C5)O)(C)C)CC(=O)OC)C,473.2534,490.2799,495.2353,455.2428
1,Tubocurarine,C37H41N2O6+,57-95-4,JFJZZMVDLULRGK-URLMMPGGSA-O,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,610.3037,627.3303,632.2857,592.2932
1,Purpurin,C14H8O5,81-54-9,BBNQQADTFFCFGB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,257.0444,274.071,279.0264,239.0339
1,Silibinin,C25H22O10,22888-70-6,SEBFKMXJBCUCAI-HKTJVKLFSA-N ,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,483.1286,500.1551,505.1105,465.118
1,Physcion,C16H12O5,521-61-9,FFWOKTFYGVYKIR-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,285.0757,302.1023,307.0577,267.0652
1,PODOFILOX,C22H22O8,518-28-5,YJGVMLPVUAXIQN-XVVDYKMHSA-N,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,415.1387,432.1653,437.1207,397.1282
1,Tetrahydrogambogic Acid,C38H48O8,No CAS#,CXFIQFGADOTDPF-XKZIYDEJSA-N,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C(C3=O)CC6CC4C(OC5(C6O)C/C=C(/C)\C(=O)O)(C)C)O)C)C,633.3422,650.3687,655.3241,615.3316
1,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid",C22H34O3,No CAS#,NPBNRBWMDNZEBN-YTEKVJICSA-N,CC([C@H]1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(=O)O,347.2581,364.2846,369.24,329.2475
1,Deacetoxy(7)-7-Oxokhivorinic Acid,C27H36O10,No CAS#,WROKSYFOSDWFHL-UQVLWQGYSA-N,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C5C4([C@@]3(C(=O)C2)C)O5)C(=O)O)C)C)(C)C)OC(=O)C,521.2381,538.2647,543.2201,503.2276
1,Cearoin,C14H12O4,52811-37-7,NFJVELXCUBWAFL-UHFFFAOYSA-N,COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)O,245.0808,262.1074,267.0628,227.0703
1,Avocadyne Acetate,C19H34O4,24607-06-5,JAKAZHIACKJNNB-OALUTQOASA-N ,CC(=O)OC[C@H](C[C@H](CCCCCCCCCCCC#C)O)O,327.253,344.2795,349.2349,309.2424
1,Pomiferin,C25H24O6,572-03-2,GHCZYXUOYFOXIP-UHFFFAOYSA-N,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,421.1646,438.1911,443.1465,403.154
1,Dihydrojasmonic Acid,C12H20O3,98674-52-3,PQEYTAGBXNEUQL-UHFFFAOYSA-N,CCCCCC1C(CCC1=O)CC(=O)O,213.1485,230.1751,235.1305,195.138
1,Emodin,C15H10O5,518-82-1,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,271.0601,288.0866,293.042,253.0495
1,Beta-Caryophyllene Alcohol,C15H26O,No CAS#,FUQAYSQLAOJBBC-UHFFFAOYSA-N,CC1(CC2C1CCC3(CCCC2(C3)O)C)C,223.2056,240.2322,245.1876,205.1951
